Timestamp,"Please confirm the following before proceeding with the survey:
Please tick all of the above boxes to continue to the questionnaire.",What is your age?,Gender,Highest Level of Education,How often do you use online banking?,Which online banking platform do you use most frequently?,I can recognise phishing emails pretending to be from a bank,I know that legitimate banks never ask customers to share OTPs or passwords.,I understand how Multi-Factor Authentication (MFA) protects online banking accounts,I know how to verify that a banking website is genuine before entering my login credentials.,I understand the risks of using public Wi-Fi for online banking.,I am aware of AI-generated scams and deepfake fraud targeting banking customers.,I know what actions to take if I suspect my online banking account has been compromised.,Have you ever received a phishing email pretending to be from a bank?,Have you ever received a suspicious SMS claiming to be from a bank?,Have you ever received a phone call claiming to be from your bank asking for personal information?,Have you ever clicked on a suspicious banking link?,Have you ever experienced online banking fraud?,"If yes, how did you identify or respond to the phishing attempt?
(Select all that apply)","You receive an email claiming your bank account will be suspended unless you click a link immediately.
What would you do?","Someone claiming to be from your bank asks for your OTP to verify your identity.
What would you do?","You receive a security alert saying someone logged into your account from another device.
What is your first action?","You receive a voice call that sounds exactly like your bank manager asking you to urgently approve a transaction.
What would you do?",Multi-Factor Authentication (MFA) improves online banking security.,Biometric authentication (Face ID/Fingerprint) provides better protection than passwords alone.,Bank security alerts help prevent cyberattacks.,Current front-end security measures provide adequate protection against emerging cyber threats.,AI-based fraud detection systems improve online banking security.,I use a unique password for my online banking account.,I enable Multi-Factor Authentication whenever it is available.,I regularly update my banking application.,I verify website authenticity before entering my banking credentials.,"I understand how biometric authentication (e.g., Face ID or fingerprint recognition) works when I log in to my online banking account.","I understand how my biometric data (e.g., Face ID or fingerprint) is stored and protected when I use biometric authentication for online banking.",I am concerned about the privacy risks associated with using biometric authentication for online banking.,I trust that my biometric data is securely protected when I use biometric authentication for online banking.,Banks should provide clearer information about how biometric data is used and protected when customers use biometric authentication for online banking.,Concerns about biometric privacy would affect my willingness to use biometric authentication for online banking.,Which biometric authentication method do you currently use for online banking?,"In your opinion, what is the biggest concern when using biometric authentication for online banking?"
04/07/2026 13:29:26,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",45-54,Male,Master's Degree,Daily,Mobile Banking App,2,4,2,2,2,2,1,Yes,Yes,Not Sure,Not Sure,No,,Ignore it completely,End the call and contact the bank through official channels,Wait to see if it happens again,End the call without checking,1,2,2,3,2,Always,Always,Always,Always,1,3,1,2,1,2,Fingerprint Recognition,"Privacy of biometric data, Risk of biometric data being stolen, Lack of understanding of how biometric data is used"
04/07/2026 14:02:21,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",55+,Female,Master's Degree,Monthly,Internet Banking Website,2,1,1,2,1,2,1,No,Yes,Yes,Yes,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,2,4,3,Always,Sometimes,Sometimes,Rarely,1,3,2,2,3,2,Password online banking. Yet to set up app on all device,Risk of biometric data being stolen
04/07/2026 16:25:28,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Male,Master's Degree,Weekly,Both equally,1,1,1,1,1,1,1,Yes,Yes,No,No,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,3,1,Always,Always,Always,Always,1,3,1,1,1,1,"Face ID / Facial Recognition, Fingerprint Recognition","Privacy of biometric data, Risk of biometric data being stolen"
04/07/2026 17:29:58,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Female,Diploma,Weekly,Both equally,1,1,1,1,1,1,1,Not Sure,Not Sure,Not Sure,Not Sure,No,I noticed suspicious links or website URLs.,Ignore it completely,Ask why it is needed,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,1,1,2,Sometimes,Never,Sometimes,Never,2,2,1,2,2,2,Face ID / Facial Recognition,"Risk of biometric data being stolen, "
04/07/2026 17:48:30,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Female,Master's Degree,Daily,Mobile Banking App,1,1,1,1,1,1,1,Yes,Yes,Yes,Yes,Yes,I noticed suspicious links or website URLs.,Ignore it completely,Ask why it is needed,Ignore it,End the call without checking,1,1,1,1,1,Never,Never,Never,Never,2,1,1,1,1,1,Face ID / Facial Recognition,Privacy of biometric data
04/07/2026 18:34:34,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",35-44,Female,Diploma,Daily,Mobile Banking App,2,1,1,3,1,1,1,Not Sure,No,Yes,No,No,"I noticed suspicious links or website URLs., The email contained spelling or grammar mistakes., The sender's email address looked suspicious., I reported it to my bank.",Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,1,2,2,Always,Always,Sometimes,Always,2,2,2,2,2,2,"Face ID / Facial Recognition, Voice Recognition",Accuracy of biometric authentication
04/07/2026 18:44:20,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",55+,Male,Master's Degree,Daily,Both equally,5,5,5,5,5,5,5,Yes,Yes,No,No,No,,Ignore it completely,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,5,5,4,4,4,Always,Always,Rarely,Always,5,5,5,5,5,3,Fingerprint Recognition,I have no concerns
04/07/2026 18:48:20,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",45-54,Male,Diploma,Weekly,Mobile Banking App,2,1,1,1,1,2,2,No,No,No,No,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,3,3,Always,Always,Always,Always,1,1,1,1,1,2,Fingerprint Recognition,Risk of biometric data being stolen
04/07/2026 19:00:41,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Male,Bachelor's Degree,Daily,Mobile Banking App,2,1,2,1,2,3,2,No,Not Sure,No,No,No,"I noticed suspicious links or website URLs., The sender's email address looked suspicious., My bank warned me about similar scams., I ignored and deleted the email.",Verify the request using the bank's official website or customer service,Ignore the request but continue the conversation,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,3,3,Rarely,Always,Always,Always,2,4,4,1,2,3,Face ID / Facial Recognition,"Privacy of biometric data, Risk of biometric data being stolen"
04/07/2026 19:10:00,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Male,Bachelor's Degree,Weekly,Mobile Banking App,5,4,5,5,5,5,5,Not Sure,Not Sure,Not Sure,Not Sure,No,I was unsure whether it was a phishing attempt.,Click the link immediately,Share the OTP,Change your password immediately and contact the bank,End the call without checking,1,1,2,2,3,Rarely,Rarely,Rarely,Rarely,5,5,5,5,1,1,Face ID / Facial Recognition,"Risk of biometric data being stolen, Lack of understanding of how biometric data is used"
04/07/2026 19:14:02,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Male,Bachelor's Degree,Rarely,Mobile Banking App,2,4,1,3,5,5,4,No,No,No,No,No,,Verify the request using the bank's official website or customer service,Ask why it is needed,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,4,5,2,4,3,Sometimes,Sometimes,Never,Never,2,2,4,4,2,2,Fingerprint Recognition,Privacy of biometric data
04/07/2026 19:18:35,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Male,Bachelor's Degree,Daily,Mobile Banking App,2,1,2,3,1,2,2,No,Yes,No,Not Sure,No,,Verify the request using the bank's official website or customer service,Ignore the request but continue the conversation,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,3,3,4,Sometimes,Sometimes,Sometimes,Never,2,4,1,3,1,2,I do not use biometric authentication,"Privacy of biometric data, Risk of biometric data being stolen, Lack of understanding of how biometric data is used"
04/07/2026 19:21:47,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",45-54,Female,Bachelor's Degree,Daily,Both equally,3,1,2,2,5,2,2,No,No,No,No,No,"I noticed suspicious links or website URLs., The message requested sensitive information (passwords, PINs, OTPs)., My bank warned me about similar scams., I ignored and deleted the email., I reported it to my bank.",Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,1,3,2,2,Always,Sometimes,Always,Always,2,1,3,3,1,2,I do not use biometric authentication,"Privacy of biometric data, Risk of biometric data being stolen"
04/07/2026 20:33:50,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",55+,Female,Diploma,Daily,Mobile Banking App,3,1,4,1,1,1,2,No,No,No,No,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,3,3,1,3,3,Always,Sometimes,Sometimes,Always,1,2,1,1,1,1,Face ID / Facial Recognition,Privacy of biometric data
04/07/2026 21:06:11,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",35-44,Female,Diploma,Daily,Internet Banking Website,1,1,1,1,1,1,1,No,Yes,No,No,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,End the call without checking,1,3,2,3,4,Always,Always,Always,Always,1,3,1,3,1,1,Fingerprint Recognition,"Privacy of biometric data, Risk of biometric data being stolen"
05/07/2026 00:36:27,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Male,Bachelor's Degree,Daily,Mobile Banking App,1,1,1,1,1,1,1,No,Yes,No,Not Sure,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,End the call without checking,1,2,2,2,2,Always,Always,Always,Always,1,2,2,2,3,2,"Face ID / Facial Recognition, Fingerprint Recognition",I have no concerns
05/07/2026 00:49:07,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Male,Bachelor's Degree,Monthly,Internet Banking Website,1,1,1,1,1,1,1,Yes,Yes,Yes,Yes,Yes,I noticed suspicious links or website URLs.,Click the link immediately,Share the OTP,Ignore it,Approve the transaction,1,1,2,3,4,Sometimes,Sometimes,Rarely,Never,3,4,5,2,1,3,Face ID / Facial Recognition,Risk of biometric data being stolen
05/07/2026 01:52:02,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Female,Bachelor's Degree,Daily,Mobile Banking App,2,1,1,2,2,1,1,Not Sure,Yes,No,No,No,,Ignore it completely,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,3,1,Always,Always,Sometimes,Always,1,1,2,2,1,1,Face ID / Facial Recognition,"Privacy of biometric data, Risk of biometric data being stolen, Lack of understanding of how biometric data is used"
05/07/2026 04:56:51,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Female,Bachelor's Degree,Weekly,Mobile Banking App,1,1,1,1,1,1,1,No,No,No,No,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,2,3,Always,Always,Always,Always,1,1,2,3,2,4,Face ID / Facial Recognition,"Privacy of biometric data, Risk of biometric data being stolen, Lack of understanding of how biometric data is used"
05/07/2026 05:52:33,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Female,Bachelor's Degree,Weekly,Mobile Banking App,1,1,1,1,1,2,3,Not Sure,No,No,No,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,4,4,4,4,4,Sometimes,Always,Always,Sometimes,3,3,3,3,3,3,I do not use biometric authentication,"Risk of biometric data being stolen, Accuracy of biometric authentication"
05/07/2026 06:05:41,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Female,Bachelor's Degree,Weekly,Mobile Banking App,2,2,2,2,2,2,2,No,No,No,No,No,I noticed suspicious links or website URLs.,Ignore it completely,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,2,2,Sometimes,Always,Sometimes,Sometimes,2,2,2,2,2,2,"Face ID / Facial Recognition, Fingerprint Recognition","Privacy of biometric data, Risk of biometric data being stolen"
05/07/2026 15:24:10,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",45-54,Male,Bachelor's Degree,Monthly,Both equally,4,1,1,4,5,5,3,No,No,No,Not Sure,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,End the call without checking,1,1,3,3,1,Always,Sometimes,Rarely,Never,1,1,4,1,2,2,Fingerprint Recognition,I have no concerns
07/07/2026 00:09:59,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",35-44,Female,Bachelor's Degree,Daily,Mobile Banking App,4,3,3,2,2,2,1,No,No,No,Yes,Yes,"I noticed suspicious links or website URLs., The email contained spelling or grammar mistakes.",Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,2,3,Rarely,Rarely,Sometimes,Sometimes,2,3,2,3,2,3,"Face ID / Facial Recognition, Fingerprint Recognition",Privacy of biometric data
08/07/2026 11:50:56,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",35-44,Female,Diploma,Weekly,Internet Banking Website,2,4,2,4,2,4,4,No,No,Yes,Not Sure,No,I was unsure whether it was a phishing attempt.,Click the link immediately,Ask why it is needed,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,2,2,Rarely,Never,Never,Never,3,3,3,3,3,3,Fingerprint Recognition,Lack of understanding of how biometric data is used
08/07/2026 11:52:36,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",35-44,Prefer not to say,Secondary School,Daily,Internet Banking Website,4,4,3,3,3,2,2,No,No,No,No,No,"My bank warned me about similar scams., I reported it to my bank., I clicked the link before realizing it was suspicious.",Verify the request using the bank's official website or customer service,Ask why it is needed,Delete the notification,Verify the request using the bank's official contact details,4,3,3,3,3,Sometimes,Rarely,Never,Rarely,2,2,3,3,3,3,"Face ID / Facial Recognition, Fingerprint Recognition",Privacy of biometric data
08/07/2026 13:21:00,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",45-54,Female,Diploma,Daily,Internet Banking Website,3,3,3,3,3,3,3,Yes,Yes,Yes,No,No,"My bank warned me about similar scams., I reported it to my bank.",Verify the request using the bank's official website or customer service,Ask why it is needed,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,2,2,Never,Never,Never,Never,2,2,2,2,2,2,Fingerprint Recognition,Privacy of biometric data
09/07/2026 06:51:52,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Female,Master's Degree,Daily,Mobile Banking App,3,1,1,2,1,1,2,No,No,No,No,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,2,1,2,2,Always,Always,Always,Always,2,3,4,3,1,3,"Face ID / Facial Recognition, Voice Recognition",Accuracy of biometric authentication
09/07/2026 08:42:45,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",55+,Prefer not to say,😂😂😂,Monthly,Internet Banking Website,5,5,5,5,5,5,5,Not Sure,Not Sure,Not Sure,Not Sure,Yes,"I noticed suspicious links or website URLs., The email contained spelling or grammar mistakes., The sender's email address looked suspicious., The message requested sensitive information (passwords, PINs, OTPs)., My bank warned me about similar scams., I ignored and deleted the email., I reported it to my bank., I clicked the link before realizing it was suspicious., I was unsure whether it was a phishing attempt., 😂😂😂🍆",Reply to the email,Share the OTP,Wait to see if it happens again,Approve the transaction,5,5,5,5,5,Never,Never,Never,Always,5,5,5,5,5,5,👅👅👅,🐷🐷🐷
09/07/2026 11:04:27,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",45-54,Female,Secondary School,Weekly,Internet Banking Website,2,3,3,3,4,5,5,Not Sure,Not Sure,No,No,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,3,3,3,3,3,Rarely,Rarely,Rarely,Rarely,3,2,3,4,5,3,"Fingerprint Recognition, Voice Recognition","Privacy of biometric data, Risk of biometric data being stolen"
09/07/2026 11:05:44,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Female,Diploma,Weekly,Internet Banking Website,2,1,3,3,4,4,4,No,Yes,Yes,No,Yes,"I noticed suspicious links or website URLs., The sender's email address looked suspicious., My bank warned me about similar scams., I was unsure whether it was a phishing attempt.",Ignore it completely,Ask why it is needed,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,4,4,2,3,Sometimes,Rarely,Sometimes,Rarely,1,1,1,1,1,1,Fingerprint Recognition,"Risk of biometric data being stolen, Lack of understanding of how biometric data is used, Accuracy of biometric authentication"
