Timestamp,Consent,Age,Gender,Education,Banking_Use,Platform,Aware_Phishing,Aware_OTP,Aware_MFA,Aware_Website,Aware_PublicWiFi,Aware_AI,Aware_Response,Exp_Phishing_Email,Exp_Phishing_SMS,Exp_Phishing_Call,Clicked_Suspicious_Link,Experienced_Fraud,Fraud_Response,Scenario_Email,Scenario_OTP,Scenario_Login_Alert,Scenario_Deepfake_Call,Opinion_MFA,Opinion_Biometrics,Opinion_Alerts,Opinion_FrontEnd,Opinion_AI,Behaviour_UniquePassword,Behaviour_UseMFA,Behaviour_UpdateApp,Behaviour_VerifyWebsite,Bio_Understand,Bio_DataProtection,Bio_PrivacyConcern,Bio_Trust,Bio_ClearInfo,Bio_Willingness,Biometric_Method,Biggest_Concern,Awareness_Score,Awareness_Level,Opinion_Score,Behaviour_Score,Behaviour_Level,Biometric_Score,Biometric_Level
7/4/2026 19:18:35,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Male,Bachelor's Degree,Daily,Mobile Banking App,2,1,2,3,1,2,2,No,Yes,No,Not Sure,No,Not Applicable,Verify the request using the bank's official website or customer service,Ignore the request but continue the conversation,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,3,3,4,3,3,3,5,2,4,1,3,1,2,I do not use biometric authentication,"Privacy of biometric data, Risk of biometric data being stolen, Lack of understanding of how biometric data is used",1.8571428571428572,High Awareness,2.8,3.5,Poor Practice,2.1666666666666665,Moderate Understanding
7/4/2026 19:21:47,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",45-54,Female,Bachelor's Degree,Daily,Both equally,3,1,2,2,5,2,2,No,No,No,No,No,"I noticed suspicious links or website URLs., The message requested sensitive information (passwords, PINs, OTPs)., My bank warned me about similar scams., I ignored and deleted the email., I reported it to my bank.",Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,1,3,2,2,1,3,1,1,2,1,3,3,1,2,I do not use biometric authentication,"Privacy of biometric data, Risk of biometric data being stolen",2.4285714285714284,Moderate Awareness,2.0,1.5,Good Practice,2.0,High Understanding
7/4/2026 20:33:50,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",55+,Female,Diploma,Daily,Mobile Banking App,3,1,4,1,1,1,2,No,No,No,No,No,Not Applicable,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,3,3,1,3,3,1,3,3,1,1,2,1,1,1,1,Face ID / Facial Recognition,Privacy of biometric data,1.8571428571428572,High Awareness,2.6,2.0,Good Practice,1.1666666666666667,High Understanding
7/4/2026 21:06:11,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",35-44,Female,Diploma,Daily,Internet Banking Website,1,1,1,1,1,1,1,No,Yes,No,No,No,Not Applicable,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,End the call without checking,1,3,2,3,4,1,1,1,1,1,3,1,3,1,1,Fingerprint Recognition,"Privacy of biometric data, Risk of biometric data being stolen",1.0,High Awareness,2.6,1.0,Good Practice,1.6666666666666667,High Understanding
7/5/2026 0:36:27,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Male,Bachelor's Degree,Daily,Mobile Banking App,1,1,1,1,1,1,1,No,Yes,No,Not Sure,No,Not Applicable,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,End the call without checking,1,2,2,2,2,1,1,1,1,1,2,2,2,3,2,"Face ID / Facial Recognition, Fingerprint Recognition",I have no concerns,1.0,High Awareness,1.8,1.0,Good Practice,2.0,High Understanding
7/5/2026 0:49:07,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Male,Bachelor's Degree,Monthly,Internet Banking Website,1,1,1,1,1,1,1,Yes,Yes,Yes,Yes,Yes,I noticed suspicious links or website URLs.,Click the link immediately,Share the OTP,Ignore it,Approve the transaction,1,1,2,3,4,3,3,4,5,3,4,5,2,1,3,Face ID / Facial Recognition,Risk of biometric data being stolen,1.0,High Awareness,2.2,3.75,Poor Practice,3.0,Moderate Understanding
7/5/2026 1:52:02,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Female,Bachelor's Degree,Daily,Mobile Banking App,2,1,1,2,2,1,1,Not Sure,Yes,No,No,No,Not Applicable,Ignore it completely,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,3,1,1,1,3,1,1,1,2,2,1,1,Face ID / Facial Recognition,"Privacy of biometric data, Risk of biometric data being stolen, Lack of understanding of how biometric data is used",1.4285714285714286,High Awareness,1.4,1.5,Good Practice,1.3333333333333333,High Understanding
7/5/2026 4:56:51,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Female,Bachelor's Degree,Weekly,Mobile Banking App,1,1,1,1,1,1,1,No,No,No,No,No,Not Applicable,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,2,3,1,1,1,1,1,1,2,3,2,4,Face ID / Facial Recognition,"Privacy of biometric data, Risk of biometric data being stolen, Lack of understanding of how biometric data is used",1.0,High Awareness,1.6,1.0,Good Practice,2.1666666666666665,Moderate Understanding
7/5/2026 5:52:33,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Female,Bachelor's Degree,Weekly,Mobile Banking App,1,1,1,1,1,2,3,Not Sure,No,No,No,No,Not Applicable,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,4,4,4,4,4,3,1,1,3,3,3,3,3,3,3,I do not use biometric authentication,"Risk of biometric data being stolen, Accuracy of biometric authentication",1.4285714285714286,High Awareness,4.0,2.0,Good Practice,3.0,Moderate Understanding
7/5/2026 6:05:41,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Female,Bachelor's Degree,Weekly,Mobile Banking App,2,2,2,2,2,2,2,No,No,No,No,No,I noticed suspicious links or website URLs.,Ignore it completely,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,2,2,3,1,3,3,2,2,2,2,2,2,"Face ID / Facial Recognition, Fingerprint Recognition","Privacy of biometric data, Risk of biometric data being stolen",2.0,High Awareness,2.0,2.5,Moderate Practice,2.0,High Understanding
7/5/2026 15:24:10,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",45-54,Male,Bachelor's Degree,Monthly,Both equally,4,1,1,4,5,5,3,No,No,No,Not Sure,No,Not Applicable,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,End the call without checking,1,1,3,3,1,1,3,4,5,1,1,4,1,2,2,Fingerprint Recognition,I have no concerns,3.2857142857142856,Low Awareness,1.8,3.25,Poor Practice,1.8333333333333333,High Understanding
